,Charlie Baker,1956-11-13,Republican,https://twitter.com/massgovernor?lang=en,https://upload.wikimedia.org/wikipedia/commons/e/e6/Charlie_Baker_official_photo.jpg
,William Sapelli,1954-02-17,Democrat,https://www.facebook.com/sapelliformayor/,
,Elizabeth Warren,1949-06-22,Democrat,https://twitter.com/ewarren,
,Ed Markey,1946-07-11,Democrat,https://twitter.com/SenMarkey,
,Kassandra Gove,,Independent,https://www.facebook.com/kassandragovemayor/,
,Paul Heroux,,Democrat,,
,Michael Cahill,,Democrat,,
,Martin Walsh,,Democrat,,
,Charles Kokoros,,Republican,,
,Robert Sullivan,,Republican,,
,Sumbul Siddiqui,,Democrat,,
,John Vieau,,
,Nicole LaChapelle,,Democrat,,
,Carlo DeMaria Jr.,,Democrat,,
,Paul Coogan,,Democrat,,
,Stephen DiNatale,,Democrat,,
,Yvonne Spicer,,Democrat,,
,Michael Nicholson,,
,Sefatia Romeo Theken,,Independent,,
,Roxann Wedegartner,,Democrat,,
,James Fiorentini,,Democrat,,
,Alex Morse,,Democrat,,
,Daniel Rivera,,Democrat,,
,Dean Mazzarella,,Republican,,
,John Leahy,,Independent,,
,Thomas McGee,,Democrat,,
,Gary Christenson,,Democrat,,
,Arthur Vigeant,,Republican,,
,Breanna Lungo-Koehn,,Democrat,,
,Paul Brodeur,1964-04-24,Democrat,,
,Neil Perry,,Democrat,,
,Jon Mitchell,,Democrat,,
,Donna Holaday,,Democrat,,
,Ruthanne Fuller,,Democrat,,
,Thomas Bernard,,Democrat,,
,David Narkewicz,1966-04-25,Democrat,,
,Edward Bettencourt,,Democrat,,
,Linda Tyer,,Democrat,,
,Thomas Koch,1963-01-22,Independent,,
,Brian Arrigo,,Democrat,,
,Kimberly Driscoll,1966-08-12,Democrat,,
,Joseph Curtatone,1966-07-28,Democrat,,
,Domenic Sarno,1963-05-04,Democrat,,
,Shaunna O’Connell,1970-03-14,Republican,,
,Jeannette McCarthy,,Independent,,
,Donald Humason,1967-07-31,Republican,,
,William Reichelt,,Independent,,
,Robert Hedlund,1961-07-12,Republican,,
,Scott Galvin,,Democrat,,
,Joseph Petty,,Democrat,,
,Richard Neal,1949-02-14,Democrat,,
,Jim McGovern,1959-11-20,Democrat,,
,Lori Trahan,,Democrat,,
,Joseph Kennedy III,,Democrat,,
,Katherine Clark,,Democrat,,
,Seth Moulton,,Democrat,,
,Ayanna Pressley,,Democrat,,
,Stephen Lynch,,Democrat,,
,William Keating,,Democrat,,
,Tim Whelan,,Republican,,
,William Crocker Jr.,,Republican,,
,David Vieira,,Republican,,
,Sarah Peake,,Democrat,,
,Randy Hunt,,Republican,,
,Dylan Fernandes,,Democrat,,
,John Barrett III,,Democrat,,
,Paul Mark,,Democrat,,
,Tricia Farley-Bouvier,,Democrat,,
,"William ""Smitty"" Pignatelli",,Democrat,,
,F. Jay Barrows,,Republican,,
,Jim Hawkins,,Democrat,,
